<<these are the available effects and what they do.  X is the effect strength.  Y is the effect argument>>

<<Enemy Effects (Periodic)>>
regeneration | enemy recovers X health per second.  
poison       | enemy takes X damage per second for Y seconds

<<Enemy Effects (Stat Scaling)>>
fixedSpawnCount           | waves of this enemy type always spawn exactly X enemies.  Best when used with budget scaling effects, so stronger waves can continue getting stronger.
invScaleAttackWithDamage  | enemy deals less damage as it gets injured.  Decreases proportionally if x = 1.  Higher/lower values cause it to decrease faster/slower, respectively.
invScaleEffectWithDamage  | target enemy effect weakens as it takes damage.  Decreases proportionally if x = 1.  Higher/lower values cause it to decrease faster/slower, respectively.
invScaleEffectWithTime    | target enemy effect weakens by x/s.  
invScaleSpeedWithDamage   | enemy slows down (to 1) as it takes damage.  Decreases proportionally if x = 1.  Higher/lower values cause it to decrease faster/slower, respectively.
invScaleSpedWithTime      | enemy slows down by x/s (min 1)
scaleAttackhWithBudget    | enemy attack scales up with wave budget.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleAttackWithDamage     | monster deals more damage as it gets injured.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleEffectWithBudget     | target enemy effect scales up with wave budget.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleEffectWithDamage     | target enemy effect scales up as the enemy takes damage.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleEffectWithRank       | target enemy effect scales up with the rank of the wave (multiplied by X per rank, like how stats scale)
scaleEffectWithTime       | target enemy effect gets stronger by X/s
scaleHealthWithBudget     | enemy health scales up with wave budget.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleSpeedWithBudget      | enemy speed  scales up with wave budget.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleSpeedWithDamage      | enemy gets faster as it takes damage.  Increases proportionally if x = 1.  Higher/lower values cause it to increase faster/slower, respectively.
scaleSpeedWithTime        | enemy gets faster by X/s.  Note that there is a global speed limit for all enemies that this will not exceed.

<<Enemy Damaged Effects (On tower: trigger when attacking.  On Enemy type: trigger when attacked)>>
armor                     | enemy receives X less damage from every hit, with a minimum of 1 damage
chainHit		          | attack spreads to all enemies within X of each other through a series of consecutive explosions.  No enemy will be hit twice.  
damagePercent             | enemy takes damage equal to X% of their max health
reduceEnemyEffectOnDamage | hit enemies have the strength of effect Y reduced by X
ResonantTowerAttackMult   | tower attack gets X times stronger for each tower that has this effect with the same value for Y
ResonantTowerAttackMod    | tower attack increases by X for each tower that has this effect with the same value for Y
ResonantTowerRangeMod     | tower range increases by X for each tower that has this effect with the same value for Y
secondaryBurst            | when a valid attack is made, the tower also creates a burst attack with radius X and strength Y
slowTarget                | enemies hit by this attack are slowed for X seconds.  Does not stack
splashDamage		      | attack causes a secondary explosion, dealing X damage to all enemies within Y of the impact site.  Effects do not spread to secondary targets

<<Wave effects (On Enemy type: trigger on wave creation.  On card: trigger when played)>>
budgetPercentageChange | wave budget is increased by X percent
changeWaveType         | wave type is changed to Y
timePercentageChange   | wave time is increased by X percent

<<instant effects (trigger immediately when card is played)>>
addCharges                   | this card gains X charges.  Must be on a card.
allTowersLifespanBonus       | all towers on the map last X waves longer
conjureSpellCard             | player conjures X spells, which are chosen randomly from all available un-modded spells and added directly to the hand as tokens
conjureTowerCard             | player conjures X towers, which are chosen randomly from all available un-modded spells and added directly to the hand as tokens
conjureUpgradeCard           | player conjures X upgrades, which are chosen randomly from all available un-modded spells and added directly to the hand as tokens
damageHand	                 | player's HAND takes x damage.  If the hand does not have enough charges, excess damage is dealt to their deck
damagePlayer                 | player takes X damage
discardChosenCard            | player chooses up to X cards to discard.  Must be on a card.
discardRandomCard            | player discards up to X cards chosen at random.  Must be on a card.
drawCard                     | player draws X cards
drawEnemyCard                | enemy draws X cards
drawSpellCard                | player draws X spells from their deck.   if there are not enough, "Improvised Spell" tokens are created instead.
drawTowerCard                | player draws X towers from their deck.   if there are not enough, "Improvised Tower" tokens are created instead.
drawUpgradeCard              | player draws X upgrades from their deck. if there are not enough, "Improvised Upgrade" tokens are created instead.
replaceRandomCard	         | replaces up to X cards chosen at random
replaceRandomCardWithSpell	 | replaces up to X cards chosen at random with spells
replaceRandomCardWithTower	 | replaces up to X cards chosen at random with towers
replaceRandomCardWithUpgrade | replaces up to X cards chosen at random with upgrades
score                        | player gains X points
shuffle                      | shuffles the deck

<<Targeting effects (Determines tower targeting behavior)>>
targetAll        | tower targets all enemies in range with multiple projectiles
targetArmor      | tower prioritizes targets with the highest armor
targetBurst      | tower targets all enemies in range with a single wave
targetClosest    | tower targets the enemy closest to the tower itself
targetHealth     | tower prioritizes targets with the highest health
targetLowHealth  | tower prioritizes targets with the lowest health
targetMultishot  | tower attacks up to X enemies closest to their goals
